fromnode,tonode,c
0,0,0.0000
0,1,576.9631
0,2,946.4954
0,3,597.5972
0,4,373.8127
0,5,559.7673
0,6,709.0215
0,7,1208.3280
0,8,603.6477
0,9,695.2080
0,10,680.7090
0,11,1936.5720
0,12,332.4644
0,13,592.5679
0,14,908.7715
1,0,576.9631
1,1,0.0000
1,2,369.5327
1,3,613.0386
1,4,429.1079
1,5,312.8831
1,6,1196.4890
1,7,1502.1400
1,8,405.8975
1,9,1241.9610
1,10,960.3459
1,11,2318.0760
1,12,786.5959
1,13,949.5669
1,14,938.7461
2,0,946.4954
2,1,369.5327
2,2,0.0000
2,3,858.3308
2,4,749.6018
2,5,556.0706
2,6,1541.2730
2,7,1764.7910
2,8,621.3306
2,9,1603.1650
2,10,1250.9620
2,11,2600.0780
2,12,1137.3350
2,13,1266.8510
2,14,1124.7780
3,0,597.5972
3,1,613.0386
3,2,858.3308
3,3,0.0000
3,4,255.0303
3,5,311.3071
3,6,790.1213
3,7,907.4331
3,8,237.0703
3,9,932.2173
3,10,406.3386
3,11,1741.8730
3,12,485.5564
3,13,1186.8580
3,14,345.8738
4,0,373.8127
4,1,429.1079
4,2,749.6018
4,3,255.0303
4,4,0.0000
4,5,225.8954
4,6,794.1726
4,7,1080.3740
4,8,238.9440
4,9,879.5647
4,10,533.1560
4,11,1889.5280
4,12,402.3291
4,13,947.3188
4,14,598.5410
5,0,559.7673
5,1,312.8831
5,2,556.0706
5,3,311.3071
5,4,225.8954
5,5,0.0000
5,6,1009.6890
5,7,1216.8680
5,8,94.2588
5,9,1104.5740
5,10,694.9153
5,11,2047.1220
5,12,627.1150
5,13,1084.5000
5,14,626.1548
6,0,709.0215
6,1,1196.4890
6,2,1541.2730
6,3,790.1213
6,4,794.1726
6,5,1009.6890
6,6,0.0000
6,7,663.8762
6,8,982.7378
6,9,221.4220
6,10,447.8044
6,11,1249.7630
6,12,411.1133
6,13,1097.6080
6,14,851.8228
7,0,1208.3280
7,1,1502.1400
7,2,1764.7910
7,3,907.4331
7,4,1080.3740
7,5,1216.8680
7,6,663.8762
7,7,0.0000
7,8,1143.7910
7,9,874.5181
7,10,551.6299
7,11,841.6240
7,12,880.0728
7,13,1714.6510
7,14,694.0088
8,0,603.6477
8,1,405.8975
8,2,621.3306
8,3,237.0703
8,4,238.9440
8,5,94.2588
8,6,982.7378
8,7,1143.7910
8,8,0.0000
8,9,1094.9060
8,10,636.9045
8,11,1978.9430
8,12,620.4880
8,13,1151.8680
8,14,535.0244
9,0,695.2080
9,1,1241.9610
9,2,1603.1650
9,3,932.2173
9,4,879.5647
9,5,1104.5740
9,6,221.4220
9,7,874.5181
9,8,1094.9060
9,9,0.0000
9,10,642.2092
9,11,1375.6350
9,12,477.4590
9,13,963.7202
9,14,1046.1190
10,0,680.7090
10,1,960.3459
10,2,1250.9620
10,3,406.3386
10,4,533.1560
10,5,694.9153
10,6,447.8044
10,7,551.6299
10,8,636.9045
10,9,642.2092
10,10,0.0000
10,11,1358.2130
10,12,378.5906
10,13,1236.1920
10,14,405.0906
11,0,1936.5720
11,1,2318.0760
11,2,2600.0780
11,3,1741.8730
11,4,1889.5280
11,5,2047.1220
11,6,1249.7630
11,7,841.6240
11,8,1978.9430
11,9,1375.6350
11,10,1358.2130
11,11,0.0000
11,12,1608.0820
11,13,2335.8160
11,14,1530.5700
12,0,332.4644
12,1,786.5959
12,2,1137.3350
12,3,485.5564
12,4,402.3291
12,5,627.1150
12,6,411.1133
12,7,880.0728
12,8,620.4880
12,9,477.4590
12,10,378.5906
12,11,1608.0820
12,12,0.0000
12,13,858.2510
12,14,700.8213
13,0,592.5679
13,1,949.5669
13,2,1266.8510
13,3,1186.8580
13,4,947.3188
13,5,1084.5000
13,6,1097.6080
13,7,1714.6510
13,8,1151.8680
13,9,963.7202
13,10,1236.1920
13,11,2335.8160
13,12,858.2510
13,13,0.0000
13,14,1500.7740
14,0,908.7715
14,1,938.7461
14,2,1124.7780
14,3,345.8738
14,4,598.5410
14,5,626.1548
14,6,851.8228
14,7,694.0088
14,8,535.0244
14,9,1046.1190
14,10,405.0906
14,11,1530.5700
14,12,700.8213
14,13,1500.7740
14,14,0.0000
