fromnode,tonode,c
0,0,0
0,1,1559
0,2,868
0,3,1038
0,4,1138
0,5,948
0,6,1443
0,7,1532
0,8,1535
0,9,1410
0,10,891
0,11,1454
0,12,2017
0,13,2233
0,14,1978
0,15,1712
0,16,1626
0,17,2072
0,18,1400
0,19,1145
0,20,909
0,21,804
0,22,1083
0,23,1416
0,24,1169
1,0,1559
1,1,0
1,2,1235
1,3,1405
1,4,1534
1,5,1045
1,6,1570
1,7,2093
1,8,1705
1,9,1258
1,10,843
1,11,1417
1,12,1634
1,13,1850
1,14,1659
1,15,1355
1,16,1481
1,17,1832
1,18,1767
1,19,1512
1,20,1519
1,21,1241
1,22,1450
1,23,1839
1,24,1536
2,0,868
2,1,1235
2,2,0
2,3,783
2,4,966
2,5,1302
2,6,1265
2,7,1331
2,8,1264
2,9,1518
2,10,999
2,11,1562
2,12,1732
2,13,2018
2,14,1793
2,15,1420
2,16,1355
2,17,1871
2,18,1037
2,19,944
2,20,1323
2,21,598
2,22,882
2,23,1267
2,24,905
3,0,1038
3,1,1405
3,2,783
3,3,0
3,4,896
3,5,1618
3,6,1342
3,7,1338
3,8,1341
3,9,1657
3,10,1387
3,11,1686
3,12,1809
3,13,2029
3,14,1870
3,15,1497
3,16,1432
3,17,1878
3,18,1114
3,19,951
3,20,1325
3,21,616
3,22,490
3,23,717
3,24,616
4,0,1138
4,1,1534
4,2,966
4,3,896
4,4,0
4,5,897
4,6,1311
4,7,1152
4,8,1155
4,9,1474
4,10,1366
4,11,1500
4,12,1623
4,13,1839
4,14,1684
4,15,1311
4,16,1246
4,17,1692
4,18,928
4,19,584
4,20,517
4,21,733
4,22,535
4,23,926
4,24,1167
5,0,948
5,1,1045
5,2,1302
5,3,1618
5,4,897
5,5,0
5,6,645
5,7,1410
5,8,1194
5,9,812
5,10,1018
5,11,1463
5,12,1708
5,13,1924
5,14,1769
5,15,1396
5,16,1331
5,17,1777
5,18,1681
5,19,1148
5,20,539
5,21,1116
5,22,1373
5,23,1743
5,24,1911
6,0,1443
6,1,1570
6,2,1265
6,3,1342
6,4,1311
6,5,645
6,6,0
6,7,932
6,8,889
6,9,1166
6,10,1663
6,11,1235
6,12,1345
6,13,1581
6,14,1406
6,15,1033
6,16,968
6,17,1427
6,18,1350
6,19,1037
6,20,794
6,21,1431
6,22,1503
6,23,1784
6,24,1958
7,0,1532
7,1,2093
7,2,1331
7,3,1338
7,4,1152
7,5,1410
7,6,932
7,7,0
7,8,1055
7,9,1374
7,10,1930
7,11,1400
7,12,1523
7,13,1739
