fromnode,tonode,w
0,0,0.0
0,1,6469.0
0,2,7629.0
0,3,20036.0
0,4,4690.0
0,5,6194.0
0,6,11688.0
0,7,2243.0
0,8,8857.0
0,9,7248.0
1,0,6469.0
1,1,0.0
1,2,12999.0
1,3,13692.0
1,4,3322.0
1,5,5576.0
1,6,3878.0
1,7,3202.0
1,8,6699.0
1,9,4198.0
2,0,7629.0
2,1,12999.0
2,2,0.0
2,3,35135.0
2,4,5956.0
2,5,14121.0
2,6,5951.0
2,7,5768.0
2,8,16578.0
2,9,4242.0
3,0,20036.0
3,1,13692.0
3,2,35135.0
3,3,0.0
3,4,19094.0
3,5,35119.0
3,6,21423.0
3,7,27342.0
3,8,51341.0
3,9,15826.0
4,0,4690.0
4,1,3322.0
4,2,5956.0
4,3,19094.0
4,4,0.0
4,5,7284.0
4,6,3102.0
4,7,1562.0
4,8,7180.0
4,9,1917.0
5,0,6194.0
5,1,5576.0
5,2,14121.0
5,3,35119.0
5,4,7284.0
5,5,0.0
5,6,5023.0
5,7,3512.0
5,8,10419.0
5,9,3543.0
6,0,11688.0
6,1,3878.0
6,2,5951.0
6,3,21423.0
6,4,3102.0
6,5,5023.0
6,6,0.0
6,7,11557.0
6,8,6479.0
6,9,34261.0
7,0,2243.0
7,1,3202.0
7,2,5768.0
7,3,27342.0
7,4,1562.0
7,5,3512.0
7,6,11557.0
7,7,0.0
7,8,5615.0
7,9,7095.0
8,0,8857.0
8,1,6699.0
8,2,16578.0
8,3,51341.0
8,4,7180.0
8,5,10419.0
8,6,6479.0
8,7,5615.0
8,8,0.0
8,9,4448.0
9,0,7248.0
9,1,4198.0
9,2,4242.0
9,3,15826.0
9,4,1917.0
9,5,3543.0
9,6,34261.0
9,7,7095.0
9,8,4448.0
9,9,0.0
