fromnode,tonode,c
0,0,0
0,1,1559
0,2,868
0,3,1038
0,4,1138
0,5,948
0,6,1443
0,7,1532
0,8,1535
0,9,1410
0,10,891
0,11,1454
0,12,2017
0,13,2233
0,14,1978
1,0,1559
1,1,0
1,2,1235
1,3,1405
1,4,1534
1,5,1045
1,6,1570
1,7,2093
1,8,1705
1,9,1258
1,10,843
1,11,1417
1,12,1634
1,13,1850
1,14,1659
2,0,868
2,1,1235
2,2,0
2,3,783
2,4,966
2,5,1302
2,6,1265
2,7,1331
2,8,1264
2,9,1518
2,10,999
2,11,1562
2,12,1732
2,13,2018
2,14,1793
3,0,1038
3,1,1405
3,2,783
3,3,0
3,4,896
3,5,1618
3,6,1342
3,7,1338
3,8,1341
3,9,1657
3,10,1387
3,11,1686
3,12,1809
3,13,2029
3,14,1870
4,0,1138
4,1,1534
4,2,966
4,3,896
4,4,0
4,5,897
4,6,1311
4,7,1152
4,8,1155
4,9,1474
4,10,1366
4,11,1500
4,12,1623
4,13,1839
4,14,1684
5,0,948
5,1,1045
5,2,1302
5,3,1618
5,4,897
5,5,0
5,6,645
5,7,1410
5,8,1194
5,9,812
5,10,1018
5,11,1463
5,12,1708
5,13,1924
5,14,1769
6,0,1443
6,1,1570
6,2,1265
6,3,1342
6,4,1311
6,5,645
6,6,0
6,7,932
6,8,889
6,9,1166
6,10,1663
6,11,1235
6,12,1345
6,13,1581
6,14,1406
7,0,1532
7,1,2093
7,2,1331
7,3,1338
7,4,1152
7,5,1410
7,6,932
7,7,0
7,8,1055
7,9,1374
7,10,1930
7,11,1400
7,12,1523
7,13,1739
7,14,1584
8,0,1535
8,1,1705
8,2,1264
8,3,1341
8,4,1155
8,5,1194
8,6,889
8,7,1055
8,8,0
8,9,788
8,10,1344
8,11,884
8,12,1007
8,13,1223
8,14,1068
9,0,1410
9,1,1258
9,2,1518
9,3,1657
9,4,1474
9,5,812
9,6,1166
9,7,1374
9,8,788
9,9,0
9,10,556
9,11,930
9,12,1384
9,13,1553
9,14,1484
10,0,891
10,1,843
10,2,999
10,3,1387
10,4,1366
10,5,1018
10,6,1663
10,7,1930
10,8,1344
10,9,556
10,10,0
10,11,837
10,12,1400
10,13,1616
10,14,1361
11,0,1454
11,1,1417
11,2,1562
11,3,1686
11,4,1500
11,5,1463
11,6,1235
11,7,1400
11,8,884
11,9,930
11,10,837
11,11,0
11,12,923
11,13,1151
11,14,864
12,0,2017
12,1,1634
12,2,1732
12,3,1809
12,4,1623
12,5,1708
12,6,1345
12,7,1523
12,8,1007
12,9,1384
12,10,1400
12,11,923
12,12,0
12,13,564
12,14,703
13,0,2233
13,1,1850
13,2,2018
13,3,2029
13,4,1839
13,5,1924
13,6,1581
13,7,1739
13,8,1223
13,9,1553
13,10,1616
13,11,1151
13,12,564
13,13,0
13,14,763
14,0,1978
14,1,1659
14,2,1793
14,3,1870
14,4,1684
14,5,1769
14,6,1406
14,7,1584
14,8,1068
14,9,1484
14,10,1361
14,11,864
14,12,703
14,13,763
14,14,0
