fromnode,tonode,c
0,0,0.0000
0,1,576.9631
0,2,946.4954
0,3,597.5972
0,4,373.8127
0,5,559.7673
0,6,709.0215
0,7,1208.3280
0,8,603.6477
0,9,695.2080
1,0,576.9631
1,1,0.0000
1,2,369.5327
1,3,613.0386
1,4,429.1079
1,5,312.8831
1,6,1196.4890
1,7,1502.1400
1,8,405.8975
1,9,1241.9610
2,0,946.4954
2,1,369.5327
2,2,0.0000
2,3,858.3308
2,4,749.6018
2,5,556.0706
2,6,1541.2730
2,7,1764.7910
2,8,621.3306
2,9,1603.1650
3,0,597.5972
3,1,613.0386
3,2,858.3308
3,3,0.0000
3,4,255.0303
3,5,311.3071
3,6,790.1213
3,7,907.4331
3,8,237.0703
3,9,932.2173
4,0,373.8127
4,1,429.1079
4,2,749.6018
4,3,255.0303
4,4,0.0000
4,5,225.8954
4,6,794.1726
4,7,1080.3740
4,8,238.9440
4,9,879.5647
5,0,559.7673
5,1,312.8831
5,2,556.0706
5,3,311.3071
5,4,225.8954
5,5,0.0000
5,6,1009.6890
5,7,1216.8680
5,8,94.2588
5,9,1104.5740
6,0,709.0215
6,1,1196.4890
6,2,1541.2730
6,3,790.1213
6,4,794.1726
6,5,1009.6890
6,6,0.0000
6,7,663.8762
6,8,982.7378
6,9,221.4220
7,0,1208.3280
7,1,1502.1400
7,2,1764.7910
7,3,907.4331
7,4,1080.3740
7,5,1216.8680
7,6,663.8762
7,7,0.0000
7,8,1143.7910
7,9,874.5181
8,0,603.6477
8,1,405.8975
8,2,621.3306
8,3,237.0703
8,4,238.9440
8,5,94.2588
8,6,982.7378
8,7,1143.7910
8,8,0.0000
8,9,1094.9060
9,0,695.2080
9,1,1241.9610
9,2,1603.1650
9,3,932.2173
9,4,879.5647
9,5,1104.5740
9,6,221.4220
9,7,874.5181
9,8,1094.9060
9,9,0.0000
