fromnode,tonode,w
0,0,0
0,1,29931
0,2,13524
0,3,10221
0,4,16264
0,5,22914
0,6,18049
0,7,13639
0,8,4109
0,9,11009
0,10,13500
0,11,10311
0,12,4538
0,13,3842
0,14,181
1,0,29931
1,1,0
1,2,7910
1,3,6175
1,4,11104
1,5,15820
1,6,10019
1,7,5591
1,8,2621
1,9,6132
1,10,9267
1,11,4381
1,12,1456
1,13,1475
1,14,116
2,0,13524
2,1,7910
2,2,0
2,3,4152
2,4,5288
2,5,3866
2,6,2198
2,7,1938
2,8,670
2,9,1660
2,10,1720
2,11,1193
2,12,491
2,13,777
2,14,0
3,0,10221
3,1,6175
3,2,4152
3,3,0
3,4,14709
3,5,2117
3,6,1852
3,7,1709
3,8,425
3,9,782
3,10,1034
3,11,739
3,12,274
3,13,791
3,14,14
4,0,16264
4,1,11104
4,2,5288
4,3,14709
4,4,0
4,5,9270
4,6,11599
4,7,8582
4,8,3311
4,9,5501
4,10,2636
4,11,2746
4,12,1011
4,13,1674
4,14,162
5,0,22914
5,1,15820
5,2,3866
5,3,2117
5,4,9270
5,5,0
5,6,17300
5,7,6323
5,8,2915
5,9,11333
5,10,9105
5,11,3044
5,12,859
5,13,774
5,14,141
6,0,18049
6,1,10019
6,2,2198
6,3,1852
6,4,11599
6,5,17300
6,6,0
6,7,15503
6,8,8931
6,9,12848
6,10,4377
6,11,3095
6,12,788
6,13,1325
6,14,99
7,0,13639
7,1,5591
7,2,1938
7,3,1709
7,4,8582
7,5,6323
7,6,15503
7,7,0
7,8,7620
7,9,5633
7,10,2552
7,11,2532
7,12,1154
7,13,2474
7,14,218
8,0,4109
8,1,2621
8,2,670
8,3,425
8,4,3311
8,5,2915
8,6,8931
8,7,7620
8,8,0
8,9,8039
8,10,2350
8,11,1404
8,12,494
8,13,1346
8,14,35
9,0,11009
9,1,6132
9,2,1660
9,3,782
9,4,5501
9,5,11333
9,6,12848
9,7,5633
9,8,8039
9,9,0
9,10,9505
9,11,9072
9,12,1850
9,13,2130
9,14,276
10,0,13500
10,1,9267
10,2,1720
10,3,1034
10,4,2636
10,5,9105
10,6,4377
10,7,2552
10,8,2350
10,9,9505
10,10,0
10,11,8786
10,12,1966
10,13,1203
10,14,223
11,0,10311
11,1,4381
11,2,1193
11,3,739
11,4,2746
11,5,3044
11,6,3095
11,7,2532
11,8,1404
11,9,9072
11,10,8786
11,11,0
11,12,4975
11,13,3235
11,14,1025
12,0,4538
12,1,1456
12,2,491
12,3,274
12,4,1011
12,5,859
12,6,788
12,7,1154
12,8,494
12,9,1850
12,10,1966
12,11,4975
12,12,0
12,13,3629
12,14,2311
13,0,3842
13,1,1475
13,2,777
13,3,791
13,4,1674
13,5,774
13,6,1325
13,7,2474
13,8,1346
13,9,2130
13,10,1203
13,11,3235
13,12,3629
13,13,0
13,14,373
14,0,181
14,1,116
14,2,0
14,3,14
14,4,162
14,5,141
14,6,99
14,7,218
14,8,35
14,9,276
14,10,223
14,11,1025
14,12,2311
14,13,373
14,14,0
