fromnode,tonode,w
0,0,0
0,1,29931
0,2,13524
0,3,10221
0,4,16264
0,5,22914
0,6,18049
0,7,13639
0,8,4109
0,9,11009
1,0,29931
1,1,0
1,2,7910
1,3,6175
1,4,11104
1,5,15820
1,6,10019
1,7,5591
1,8,2621
1,9,6132
2,0,13524
2,1,7910
2,2,0
2,3,4152
2,4,5288
2,5,3866
2,6,2198
2,7,1938
2,8,670
2,9,1660
3,0,10221
3,1,6175
3,2,4152
3,3,0
3,4,14709
3,5,2117
3,6,1852
3,7,1709
3,8,425
3,9,782
4,0,16264
4,1,11104
4,2,5288
4,3,14709
4,4,0
4,5,9270
4,6,11599
4,7,8582
4,8,3311
4,9,5501
5,0,22914
5,1,15820
5,2,3866
5,3,2117
5,4,9270
5,5,0
5,6,17300
5,7,6323
5,8,2915
5,9,11333
6,0,18049
6,1,10019
6,2,2198
6,3,1852
6,4,11599
6,5,17300
6,6,0
6,7,15503
6,8,8931
6,9,12848
7,0,13639
7,1,5591
7,2,1938
7,3,1709
7,4,8582
7,5,6323
7,6,15503
7,7,0
7,8,7620
7,9,5633
8,0,4109
8,1,2621
8,2,670
8,3,425
8,4,3311
8,5,2915
8,6,8931
8,7,7620
8,8,0
8,9,8039
9,0,11009
9,1,6132
9,2,1660
9,3,782
9,4,5501
9,5,11333
9,6,12848
9,7,5633
9,8,8039
9,9,0
