fromnode,tonode,w
0,0,0.0
0,1,6469.0
0,2,7629.0
0,3,20036.0
0,4,4690.0
0,5,6194.0
0,6,11688.0
0,7,2243.0
0,8,8857.0
0,9,7248.0
0,10,3559.0
0,11,9221.0
0,12,10099.0
0,13,22866.0
0,14,3388.0
1,0,6469.0
1,1,0.0
1,2,12999.0
1,3,13692.0
1,4,3322.0
1,5,5576.0
1,6,3878.0
1,7,3202.0
1,8,6699.0
1,9,4198.0
1,10,2454.0
1,11,7975.0
1,12,1186.0
1,13,7443.0
1,14,1162.0
2,0,7629.0
2,1,12999.0
2,2,0.0
2,3,35135.0
2,4,5956.0
2,5,14121.0
2,6,5951.0
2,7,5768.0
2,8,16578.0
2,9,4242.0
2,10,3365.0
2,11,22254.0
2,12,1841.0
2,13,23665.0
2,14,6517.0
3,0,20036.0
3,1,13692.0
3,2,35135.0
3,3,0.0
3,4,19094.0
3,5,35119.0
3,6,21423.0
3,7,27342.0
3,8,51341.0
3,9,15826.0
3,10,28537.0
3,11,65387.0
3,12,12980.0
3,13,44097.0
3,14,51525.0
4,0,4690.0
4,1,3322.0
4,2,5956.0
4,3,19094.0
4,4,0.0
4,5,7284.0
4,6,3102.0
4,7,1562.0
4,8,7180.0
4,9,1917.0
4,10,2253.0
4,11,5951.0
4,12,1890.0
4,13,7097.0
4,14,2009.0
5,0,6194.0
5,1,5576.0
5,2,14121.0
5,3,35119.0
5,4,7284.0
5,5,0.0
5,6,5023.0
5,7,3512.0
5,8,10419.0
5,9,3543.0
5,10,2752.0
5,11,14412.0
5,12,2043.0
5,13,15642.0
5,14,5014.0
6,0,11688.0
6,1,3878.0
6,2,5951.0
6,3,21423.0
6,4,3102.0
6,5,5023.0
6,6,0.0
6,7,11557.0
6,8,6479.0
6,9,34261.0
6,10,10134.0
6,11,27350.0
6,12,6929.0
6,13,7961.0
6,14,4678.0
7,0,2243.0
7,1,3202.0
7,2,5768.0
7,3,27342.0
7,4,1562.0
7,5,3512.0
7,6,11557.0
7,7,0.0
7,8,5615.0
7,9,7095.0
7,10,10753.0
7,11,30362.0
7,12,1783.0
7,13,3437.0
7,14,8897.0
8,0,8857.0
8,1,6699.0
8,2,16578.0
8,3,51341.0
8,4,7180.0
8,5,10419.0
8,6,6479.0
8,7,5615.0
8,8,0.0
8,9,4448.0
8,10,5076.0
8,11,22463.0
8,12,4783.0
8,13,24609.0
8,14,9969.0
9,0,7248.0
9,1,4198.0
9,2,4242.0
9,3,15826.0
9,4,1917.0
9,5,3543.0
9,6,34261.0
9,7,7095.0
9,8,4448.0
9,9,0.0
9,10,4370.0
9,11,17267.0
9,12,3929.0
9,13,8602.0
9,14,2753.0
10,0,3559.0
10,1,2454.0
10,2,3365.0
10,3,28537.0
10,4,2253.0
10,5,2752.0
10,6,10134.0
10,7,10753.0
10,8,5076.0
10,9,4370.0
10,10,0.0
10,11,15287.0
10,12,3083.0
10,13,4092.0
10,14,7701.0
11,0,9221.0
11,1,7975.0
11,2,22254.0
11,3,65387.0
11,4,5951.0
11,5,14412.0
11,6,27350.0
11,7,30362.0
11,8,22463.0
11,9,17267.0
11,10,15287.0
11,11,0.0
11,12,5454.0
11,13,15011.0
11,14,17714.0
12,0,10099.0
12,1,1186.0
12,2,1841.0
12,3,12980.0
12,4,1890.0
12,5,2043.0
12,6,6929.0
12,7,1783.0
12,8,4783.0
12,9,3929.0
12,10,3083.0
12,11,5454.0
12,12,0.0
12,13,3251.0
12,14,1126.0
13,0,22866.0
13,1,7443.0
13,2,23665.0
13,3,44097.0
13,4,7097.0
13,5,15642.0
13,6,7961.0
13,7,3437.0
13,8,24609.0
13,9,8602.0
13,10,4092.0
13,11,15011.0
13,12,3251.0
13,13,0.0
13,14,5550.0
14,0,3388.0
14,1,1162.0
14,2,6517.0
14,3,51525.0
14,4,2009.0
14,5,5014.0
14,6,4678.0
14,7,8897.0
14,8,9969.0
14,9,2753.0
14,10,7701.0
14,11,17714.0
14,12,1126.0
14,13,5550.0
14,14,0.0
