fromnode,tonode,w
0,0,0
0,1,29931
0,2,13524
0,3,10221
0,4,16264
0,5,22914
0,6,18049
0,7,13639
0,8,4109
0,9,11009
0,10,13500
0,11,10311
0,12,4538
0,13,3842
0,14,181
0,15,3558
0,16,4866
0,17,4175
0,18,11579
0,19,3357
0,20,3658
0,21,5234
0,22,747
0,23,2340
0,24,577
0,25,293
0,26,7467
0,27,3091
0,28,1849
0,29,2274
0,30,2909
0,31,4481
0,32,677
0,33,1527
0,34,1752
0,35,218
0,36,8299
0,37,3761
0,38,311
1,0,29931
1,1,0
1,2,7910
1,3,6175
1,4,11104
1,5,15820
1,6,10019
1,7,5591
1,8,2621
1,9,6132
1,10,9267
1,11,4381
1,12,1456
1,13,1475
1,14,116
1,15,1213
1,16,2241
1,17,1447
1,18,4515
1,19,1171
1,20,2395
1,21,4641
1,22,391
1,23,1434
1,24,304
1,25,280
1,26,3356
1,27,1637
1,28,1022
1,29,1071
1,30,1371
1,31,1743
1,32,138
1,33,778
1,34,799
1,35,65
1,36,4585
1,37,1714
1,38,355
2,0,13524
2,1,7910
2,2,0
2,3,4152
2,4,5288
2,5,3866
2,6,2198
2,7,1938
2,8,670
2,9,1660
2,10,1720
2,11,1193
2,12,491
2,13,777
2,14,0
2,15,379
2,16,402
2,17,377
2,18,2841
2,19,615
2,20,495
2,21,3264
2,22,25
2,23,771
2,24,119
2,25,276
2,26,10392
2,27,1575
2,28,787
2,29,688
2,30,304
2,31,420
2,32,29
2,33,164
2,34,90
2,35,27
2,36,8103
2,37,1237
2,38,71
3,0,10221
3,1,6175
3,2,4152
3,3,0
3,4,14709
3,5,2117
3,6,1852
3,7,1709
3,8,425
3,9,782
3,10,1034
3,11,739
3,12,274
3,13,791
3,14,14
3,15,198
3,16,908
3,17,592
3,18,4007
3,19,584
3,20,913
3,21,5053
3,22,1057
3,23,5036
3,24,2012
3,25,453
3,26,3216
3,27,1388
3,28,868
3,29,1157
3,30,946
3,31,876
3,32,85
3,33,572
3,34,532
3,35,103
3,36,1428
3,37,416
3,38,508
4,0,16264
4,1,11104
4,2,5288
4,3,14709
4,4,0
4,5,9270
4,6,11599
4,7,8582
4,8,3311
4,9,5501
4,10,2636
4,11,2746
4,12,1011
4,13,1674
4,14,162
4,15,1075
